# Script: 23_lead_slowdown
# Date: 2026-03-23T13:34:09.759127
# Description: Lead slowdown with manual ego. Lead cruises at 60 km/h, ego is fully manual until 78 km/h, then ACC is requested and the user continues steering only. Lead then smoothly reduces speed from 60 to 30 km/h and remains there.
# ACC target (kph): 80.0
# Lead target (kph): 70.0
# --------------------------------------------
time_s,ego_speed_mps,ego_accel_mps2,lead_speed_mps,lead_accel_mps2,gap_m,relative_speed_mps,ego_throttle,ego_brake,ego_steering,ego_pos_x,ego_pos_y,ego_pos_z,lead_pos_x,lead_pos_y,lead_pos_z
0.10065293312072754,0.0013380029358746417,0.0,0.10103893226308658,0.0,60.92297160190837,-0.09970092932721193,0.0,0.0,0.0,-883.8220453455069,-1162.1930994574595,149.90311762316605,-822.8992593209841,-1162.3391541243946,149.93889263414894
0.21977591514587402,0.001087207413676221,-0.0021053495969860668,0.18231761815790795,0.6823090264619441,60.940829242139344,-0.18123041074423174,0.0,0.0,0.0,-883.8218372412218,-1162.1930930413291,149.90315504430828,-822.8811952493852,-1162.339148825533,149.94175621378236
0.3348500728607178,0.0005574790424477952,-0.004603365184224109,0.21979075986493604,0.3256434150914,60.963080244851774,-0.21923328082248825,0.0,0.0,0.0,-883.8220259923728,-1162.1930959183192,149.90312254742724,-822.8591344229062,-1162.339031974785,149.9444395792525
0.44762206077575684,0.0011082471674777922,0.004883908984959443,0.3333249171953715,1.0067584994242595,60.98811480493729,-0.3322166700278937,0.0,0.0,0.0,-883.8218669000889,-1162.1930993030728,149.9031486247768,-822.8339422598947,-1162.338932499115,149.94706013955874
0.565765380859375,0.001571486027416311,0.003920990705277731,0.50619848283668,1.463252983909323,61.03395102123204,-0.5046269968092637,0.0,0.0,0.0,-883.8219795169025,-1162.1931000940604,149.90313781631045,-822.7882233867422,-1162.3386473154587,149.95418595644878
0.6792869567871094,0.0014380320114449343,-0.0011755828341947162,0.8218573271161703,2.7806066089184016,61.10766779046529,-0.8204192951047253,0.0,0.0,0.0,-883.8219067293394,-1162.193096288047,149.90314394059897,-822.714439237956,-1162.3376652912302,149.9629718831129
0.7958605289459229,0.0015295181552576348,0.0007847931749750684,1.163119964705513,2.927444284922702,61.22229178451005,-1.1615904465502553,0.0,0.0,0.0,-883.8219461974359,-1162.1930991873196,149.9031464505997,-822.5998528874479,-1162.3364219943692,149.96447070188515
0.9102158546447754,0.0011517976969849188,-0.003303042127372526,1.4808180206750565,2.7781658093142165,61.369523232651076,-1.4796662229780717,0.0,0.0,0.0,-883.82193635146,-1162.1930974645074,149.90314221849894,-822.4526061704382,-1162.3349144322638,149.9629994093193
1.027864694595337,0.0006214536213042527,-0.0045078563962341455,1.7706192781749912,2.4632733958253663,61.54505691183381,-1.769997824553687,0.0,0.0,0.0,-883.8219143544829,-1162.1930995139883,149.90315079217066,-822.2770433900878,-1162.3329383101736,149.96088611838786
1.1443231105804443,0.0006780632795192019,0.0004860933212605975,2.0471459659682667,2.374467190319997,61.75890271397121,-2.0464679026887476,0.0,0.0,0.0,-883.8219586501565,-1162.1930975903488,149.90314164706115,-822.0632345257327,-1162.3303997872754,149.95977259084611
1.2607083320617676,0.0006281659096821721,-0.0004287259946060845,2.304151349048534,2.2082303905011686,62.00265466719893,-2.303523183138852,0.0,0.0,0.0,-883.8219050088205,-1162.1930993909154,149.90315339394135,-821.8194205835462,-1162.327361607895,149.95869194476109
1.3739924430847168,0.00016943219431439618,-0.004049409146838299,2.548543326582586,2.1573367644165256,62.277831193245675,-2.5483738943882717,0.0,0.0,0.0,-883.8219601575468,-1162.1931010785347,149.903144694199,-821.5442898375914,-1162.3238341499964,149.95742652703484
1.4903740882873535,0.000266358510018374,0.0008328316336757017,2.757889976376599,1.798794384024315,62.57064923871872,-2.7576236178665807,0.0,0.0,0.0,-883.821907920068,-1162.193097960615,149.9031507912306,-821.2514100186527,-1162.3199824153926,149.95643173419376
1.6024227142333984,0.0003398025677714417,0.0006554659384081459,2.95886129070919,1.793608021836563,62.88377908209578,-2.958521488141418,0.0,0.0,0.0,-883.8219526289149,-1162.193098155065,149.90314578971083,-820.9383148290217,-1162.3155642702914,149.95578368754468
1.7167372703552246,0.0006643307340462177,0.0028389050116148207,3.1662241430294804,1.8139671740430146,63.22723693179498,-3.165559812295434,0.0,0.0,0.0,-883.821918680469,-1162.1930988721033,149.90314884962913,-820.5948125896975,-1162.3106759041548,149.95531260333155
1.8323006629943848,0.00021527494089164956,-0.0038857962101953706,3.3654208207598204,1.7237005004891108,63.57366349216125,-3.3652055458189287,0.0,0.0,0.0,-883.8219390173326,-1162.1930985803046,149.90314818247407,-820.2483960809186,-1162.30556159158,149.95492073866626
