# Script: 24_lead_disappears
# Date: 2026-03-23T14:00:36.560125
# Description: Lead disappears with manual ego. Lead uses AI at 60 km/h, ego is fully manual until 80 km/h, then ACC is requested and user continues steering only.
# ACC target (kph): 80.0
# Lead target (kph): 60.0
# --------------------------------------------
time_s,ego_speed_mps,ego_accel_mps2,lead_speed_mps,lead_accel_mps2,gap_m,relative_speed_mps,ego_throttle,ego_brake,ego_steering,ego_pos_x,ego_pos_y,ego_pos_z,lead_pos_x,lead_pos_y,lead_pos_z
0.10139703750610352,0.0017909587774557918,0.0,0.09699589352413893,0.0,60.922540239415866,-0.09520493474668314,0.0,0.0,0.0,-883.821997072002,-1162.19309671898,149.90313607560802,-822.899642366101,-1162.3391305925124,149.93891902428004
0.22037029266357422,0.0017603615954432065,-0.0002571769762211478,0.17729368040138196,0.6749230049304984,60.93811565322882,-0.17553331880593875,0.0,0.0,0.0,-883.8219009499282,-1162.1930989420107,149.90314123137932,-822.8839724727441,-1162.3392046767149,149.94142164624645
0.3460423946380615,0.001620758881204631,-0.0011108488840818156,0.2139877301934358,0.29198246242036363,60.96116774420175,-0.21236697131223117,0.0,0.0,0.0,-883.8219555959872,-1162.1930978720666,149.90314402714648,-822.8609763695276,-1162.338999675184,149.94434052838187
0.4602663516998291,0.0017389644208867776,0.0010348576841741342,0.3426330674850089,1.1262553023093658,60.99058030915786,-0.3408941030641221,0.0,0.0,0.0,-883.8219372034164,-1162.1930993622136,149.90314240358612,-822.8315471037058,-1162.338865663522,149.94734781462466
0.5757849216461182,0.0012847085634879526,-0.003932318912968137,0.5216638259577684,1.549800681881716,61.03707309155135,-0.5203791173942804,0.0,0.0,0.0,-883.8219138504983,-1162.1930970670528,149.90315039511938,-822.785036095418,-1162.3386087411354,149.95484031172236
0.6909158229827881,0.0005498855733783744,-0.0063825001070805685,0.8324713730787509,2.699601440729695,61.11099022188932,-0.8319214875053724,0.0,0.0,0.0,-883.8219651205322,-1162.1931005771557,149.90313682442215,-822.7111751649063,-1162.3376223729865,149.96305635170756
0.8083443641662598,0.0006887426876522691,0.0011824818129771606,1.176351607072998,2.928421238385009,61.22699069931383,-1.1756628643853457,0.0,0.0,0.0,-883.8219004665345,-1162.1930951357645,149.90315382315146,-822.5951080010273,-1162.3363411398532,149.9644323828179
0.9223959445953369,0.0004597585601095839,-0.002007724283006133,1.4900688592088214,2.7506611566063137,61.37418105557864,-1.4896091006487118,0.0,0.0,0.0,-883.8219688782774,-1162.1931000998666,149.90314139307884,-822.4479805352166,-1162.334839714982,149.9628489327588
1.0508387088775635,0.00015693422762840526,-0.0023576597262869895,1.7977974839777295,2.3958424321415084,61.565854519241235,-1.7976405497501011,0.0,0.0,0.0,-883.8219010402685,-1162.193099139855,149.90315421981768,-822.2562317536213,-1162.3326480083051,149.96089575489714
1.1698675155639648,7.40406641709955e-05,-0.0006964159833661516,2.0847901040638006,2.411119022995792,61.78719707448499,-2.08471606339963,0.0,0.0,0.0,-883.8219619609206,-1162.1930962557872,149.9031476687751,-822.0349422767758,-1162.3300420877604,149.95942121017288
1.282891035079956,0.00015550809620794577,0.0007208007004721155,2.3347754995909824,2.2117997793531146,62.028615521671384,-2.3346199914947743,0.0,0.0,0.0,-883.8219105151311,-1162.1930998735206,149.90315263706268,-821.7934641800821,-1162.3270383837153,149.95837283955916
1.3973417282104492,0.00037698955869783007,0.0019351692543911284,2.559568738276134,1.964105524715777,62.296219025675754,-2.5591917487174363,0.0,0.0,0.0,-883.8219498888884,-1162.1930980555935,149.9031474726239,-821.5258910572156,-1162.3235884912865,149.957287863479
1.5113184452056885,0.0004831999792121047,0.0009318606757089782,2.773964562461952,1.8810493040852643,62.607216592234366,-2.7734813624827397,0.0,0.0,0.0,-883.8219215477602,-1162.1930993906954,149.90315184923492,-821.2148552425206,-1162.3194503869745,149.95657004849636
1.6278536319732666,0.0003857366415996987,-0.0008363425701354075,2.997375410658113,1.917110654670676,62.92911000339072,-2.9969896740165134,0.0,0.0,0.0,-883.8219386182573,-1162.1930961076214,149.90315068404948,-820.8929682867602,-1162.3148919903178,149.9555396081123
1.7421417236328125,0.0005633432291827625,0.0015540253144845407,3.193664043627096,1.7174898112194354,63.266126234193315,-3.1931007003979133,0.0,0.0,0.0,-883.8219337514001,-1162.1931006366322,149.90314890408808,-820.5559369772673,-1162.3100588148081,149.95512621501257
1.8608269691467285,0.0001851512282154708,-0.0031865123531546993,3.4028709678163724,1.7627037234779652,63.6403760892533,-3.402685816588157,0.0,0.0,0.0,-883.8219297597916,-1162.1930989403481,149.90315006963033,-820.1816723449156,-1162.304562866746,149.95492596201075
1.9750921726226807,0.0001661949418399881,-0.0001658972793014119,3.617195774476604,1.8756786855531002,64.04198130804068,-3.617029579534764,0.0,0.0,0.0,-883.8219385116827,-1162.193102361336,149.90314672606883,-819.7800647262484,-1162.2985837263986,149.95458204038732
