# Script: 25_gradual_stop
# Date: 2026-03-23T14:13:29.270995
# Description: Gradual stop with manual ego. Lead uses AI at 60 km/h, ego is fully manual until 78 km/h, then ACC is requested and user continues steering only. Lead then smoothly reduces speed to zero and remains stopped.
# ACC target (kph): 80.0
# Lead target (kph): 60.0
# --------------------------------------------
time_s,ego_speed_mps,ego_accel_mps2,lead_speed_mps,lead_accel_mps2,gap_m,relative_speed_mps,ego_throttle,ego_brake,ego_steering,ego_pos_x,ego_pos_y,ego_pos_z,lead_pos_x,lead_pos_y,lead_pos_z
0.10117006301879883,0.0016113984920097385,0.0,0.09960644232226878,0.0,60.9228058705035,-0.09799504383025905,0.0,0.0,0.0,-883.8220309870121,-1162.1930995905477,149.9031106230691,-822.8994106333412,-1162.3391399054417,149.93884021810663
0.21801257133483887,0.001529282310474662,-0.0007027937239498972,0.17944392681788193,0.683291429174609,60.9403495383909,-0.17791464450740727,0.0,0.0,0.0,-883.8218253935238,-1162.1930967326225,149.9031410515222,-822.8816630566143,-1162.3391535017581,149.94165900281223
0.33371734619140625,0.001706949439754603,0.001535521152866725,0.21321328850480517,0.2918579784523603,60.961741613958964,-0.21150633906505056,0.0,0.0,0.0,-883.82198172668,-1162.1930997107756,149.90312363286125,-822.8604286676855,-1162.33902521872,149.94429387246782
0.4473717212677002,0.0018685193787671844,0.0014215901403190382,0.3405181210689686,1.1201049891718309,60.99043915614849,-0.3386496016902014,0.0,0.0,0.0,-883.8218966142263,-1162.1931000101067,149.90312859522828,-822.8316476669861,-1162.338884739249,149.9472718423931
0.5604667663574219,0.0015521149601171876,-0.002797685949892709,0.47510850286509776,1.1900643541841693,61.02668910739503,-0.47355638790498056,0.0,0.0,0.0,-883.821879854786,-1162.1930956721699,149.90314011515193,-822.7953845560551,-1162.3386782789967,149.95274524809793
0.6781384944915771,0.0005962250398969629,-0.008123360941299621,0.7335447085877944,2.196247219451545,61.085643772309574,-0.7329484835478974,0.0,0.0,0.0,-883.8219814097647,-1162.193102353147,149.903120946968,-822.7365377161186,-1162.3378927254425,149.96210887783673
0.7968578338623047,0.0008964927074332705,0.002529222864007481,1.0934103106607358,3.031229823046614,61.19974118049974,-1.0925138179533025,0.0,0.0,0.0,-883.8218680616428,-1162.1930985068975,149.90314319438585,-822.6223260699771,-1162.3367108422535,149.96442995999405
0.9143352508544922,0.000416521861522874,-0.004085643506635115,1.4217660688371174,2.7950542885890823,61.34140479316379,-1.4213495469755946,0.0,0.0,0.0,-883.8219693330411,-1162.1930959526908,149.9031254798483,-822.4807587070391,-1162.335234113074,149.96327262102386
1.031808614730835,0.00017529341478445014,-0.002053473560119983,1.7366537857430175,2.680503107388358,61.5233282832279,-1.736478492328233,0.0,0.0,0.0,-883.8218760115542,-1162.1930977729608,149.90313902075093,-822.2987345708534,-1162.333178926885,149.96116990624432
1.1465258598327637,0.0005220803270716186,0.0030229710622761284,1.978830778563207,2.1110774810274617,61.708813562004025,-1.9783086982361355,0.0,0.0,0.0,-883.8219505787647,-1162.1930999044635,149.9031316975902,-822.113317405805,-1162.3309913645717,149.9601325791482
